"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-webkit-box-direction","preserved","reverse","reverse","reverse","reverse","reverse","16.6",""
"-webkit-box-flex","preserved","2","2","2","2","2","20.6",""
"-webkit-box-ordinal-group","preserved","2","2","2","2","2","28.3",""
"-webkit-box-orient","untested","","","","","","",""
"-webkit-box-pack","preserved","center","center","center","center","center","14.2",""
"-webkit-box-reflect","preserved","above","above 0px none","above 0px none","above 0px none","above 0px none","17.1",""
"-webkit-font-smoothing","preserved","none","none","none","none","none","25.4",""
"-webkit-line-break","preserved","normal","normal","normal","normal","normal","22.7",""
"-webkit-line-clamp","preserved","2","2","2","2","2","16.5",""
"-webkit-locale","preserved","auto","auto","auto","auto","auto","22.8",""
"-webkit-mask","preserved","padding","padding-box","padding-box","padding-box","padding-box","19.6",""
"-webkit-mask-attachment","unsupported","","","","","","",""
"-webkit-mask-box-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","14.1",""
"-webkit-mask-box-image-outset","preserved","24px","24px","24px","24px","24px","19.8",""
"-webkit-mask-box-image-repeat","preserved","round","round","round","round","round","19.1",""
"-webkit-mask-box-image-slice","preserved","25%","25%","25%","25%","25%","12.8",""
"-webkit-mask-box-image-source","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","8.4",""
"-webkit-mask-box-image-width","preserved","24px","24px","24px","24px","24px","18.4",""
"-webkit-mask-clip","preserved","padding","padding-box","padding-box","padding-box","padding-box","14.3",""
"-webkit-mask-composite","preserved","xor","xor","xor","xor","xor","12.5",""
"-webkit-mask-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","22.5",""
"-webkit-mask-origin","preserved","padding","padding-box","padding-box","padding-box","padding-box","14.4",""
"-webkit-mask-position","preserved","24px","24px 50%","24px 50%","24px 50%","24px 50%","16.3",""
"-webkit-mask-position-x","preserved","center","50%","50%","50%","50%","14.8",""
"-webkit-mask-position-y","preserved","center","50%","50%","50%","50%","19.2",""
"-webkit-mask-repeat","preserved","repeat-x","repeat-x","repeat-x","repeat-x","repeat-x","17.4",""
"-webkit-mask-repeat-x","unsupported","","","","","","",""
"-webkit-mask-repeat-y","unsupported","","","","","","",""
"-webkit-mask-size","preserved","24px","24px auto","24px auto","24px auto","24px auto","19",""
"-webkit-overflow-scrolling","unsupported","","","","","","",""
"-webkit-rtl-ordering","untested","","","","","","",""
"-webkit-ruby-position","untested","","","","","","",""
"-webkit-tap-highlight-color","native","","","","","","",""
"-webkit-text-combine","untested","","","","","","",""
"-webkit-text-decorations-in-effect","untested","","","","","","",""
"-webkit-text-fill-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","15.5",""
"-webkit-text-orientation","untested","","","","","","",""
"-webkit-text-security","preserved","disc","disc","disc","disc","disc","9.9",""
"-webkit-text-stroke","preserved","24px","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","14.6",""
"-webkit-text-stroke-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","14.5",""
"-webkit-text-stroke-width","preserved","24px","24px","24px","24px","24px","13.3",""
"-webkit-touch-callout","unsupported","","","","","","",""
"-webkit-user-drag","preserved","none","none","none","none","none","28.2",""
"-webkit-user-modify","preserved","read-write","read-write","read-write","read-write","read-write","15.2",""
"-webkit-user-select","native","","","","","","",""
"-webkit-writing-mode","preserved","vertical-rl","vertical-rl","vertical-rl","vertical-rl","vertical-rl","17.5",""
"accent-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","20.9",""
"align-content","preserved","center","center","center","center","center","12.6",""
"align-items","preserved","stretch","stretch","stretch","stretch","stretch","12",""
"align-self","preserved","normal","normal","normal","normal","normal","24.1",""
"align-tracks","unsupported","","","","","","",""
"alignment-baseline","preserved","baseline","baseline","baseline","baseline","baseline","14.6",""
"all","untested","","","","","","",""
"anchor-name","preserved","--pc-example","--pc-example","--pc-example","--pc-example","--pc-example","18.6",""
"anchor-scope","preserved","all","all","all","all","all","20.9",""
"animation","native","","","","","","",""
"animation-composition","native","","","","","","",""
"animation-delay","native","","","","","","",""
"animation-direction","native","","","","","","",""
"animation-duration","native","","","","","","",""
"animation-fill-mode","native","","","","","","",""
"animation-iteration-count","native","","","","","","",""
"animation-name","native","","","","","","",""
"animation-play-state","native","","","","","","",""
"animation-range","native","","","","","","",""
"animation-range-end","native","","","","","","",""
"animation-range-start","native","","","","","","",""
"animation-timeline","native","","","","","","",""
"animation-timing-function","native","","","","","","",""
"animation-trigger","native","","","","","","",""
"app-region","preserved","none","no-drag","no-drag","no-drag","no-drag","14.3",""
"appearance","preserved","auto","auto","auto","auto","auto","15.1",""
"aspect-ratio","preserved","2","2 / 1","2 / 1","2 / 1","2 / 1","20.7",""
"backdrop-filter","preserved","blur(2px)","blur(2px)","blur(2px)","blur(2px)","blur(2px)","20.5",""
"backface-visibility","preserved","hidden","hidden","hidden","hidden","hidden","29.3",""
"background","preserved","linear-gradient(red,blue)","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","18.3",""
"background-attachment","preserved","fixed","fixed","fixed","fixed","fixed","16.7",""
"background-blend-mode","preserved","multiply","multiply","multiply","multiply","multiply","24.9",""
"background-clip","preserved","content-box","content-box","content-box","content-box","content-box","16.7",""
"background-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","15.4",""
"background-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","17",""
"background-origin","preserved","content-box","content-box","content-box","content-box","content-box","27.8",""
"background-position","preserved","24px","24px 50%","24px 50%","24px 50%","24px 50%","17.1",""
"background-position-x","preserved","center","50%","50%","50%","50%","16.4",""
"background-position-y","preserved","center","50%","50%","50%","50%","10.8",""
"background-repeat","preserved","repeat-x","repeat-x","repeat-x","repeat-x","repeat-x","17.4",""
"background-size","preserved","24px","24px auto","24px auto","24px auto","24px auto","23.7",""
"baseline-shift","preserved","sub","sub","sub","sub","sub","16.6",""
"baseline-source","preserved","first","first","first","first","first","19.6",""
"block-size","preserved","24px","32px","32px","32px","32px","15.1",""
"border","preserved","4px solid red","4px solid rgb(255, 0, 0)","4px solid rgb(255, 0, 0)","4px solid rgb(255, 0, 0)","4px solid rgb(255, 0, 0)","20.9",""
"border-block","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","17",""
"border-block-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","19.8",""
"border-block-end","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","15.6",""
"border-block-end-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","15.8",""
"border-block-end-style","preserved","none","none","none","none","none","19.7",""
"border-block-end-width","preserved","24px","24px","24px","24px","24px","13",""
"border-block-start","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","21.5",""
"border-block-start-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","16.5",""
"border-block-start-style","preserved","none","none","none","none","none","17.6",""
"border-block-start-width","preserved","24px","24px","24px","24px","24px","11.5",""
"border-block-style","preserved","none","none","none","none","none","28.4",""
"border-block-width","preserved","24px","24px","24px","24px","24px","21.3",""
"border-bottom","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","12.8",""
"border-bottom-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","7.7",""
"border-bottom-left-radius","preserved","24px","24px","24px","24px","24px","27.7",""
"border-bottom-right-radius","preserved","24px","24px","24px","24px","24px","19.8",""
"border-bottom-style","preserved","none","none","none","none","none","10.8",""
"border-bottom-width","preserved","24px","24px","24px","24px","24px","6.4",""
"border-collapse","preserved","collapse","collapse","collapse","collapse","collapse","27.7",""
"border-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","8.3",""
"border-end-end-radius","preserved","24px","24px","24px","24px","24px","11.2",""
"border-end-start-radius","preserved","24px","24px","24px","24px","24px","7.8",""
"border-image","preserved","linear-gradient(red,blue) 1","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 1 / 1 / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 1 / 1 / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 1 / 1 / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 1 / 1 / 0 stretch","17",""
"border-image-outset","preserved","24px","24px","24px","24px","24px","16.3",""
"border-image-repeat","preserved","repeat","repeat","repeat","repeat","repeat","17.9",""
"border-image-slice","preserved","25%","25%","25%","25%","25%","15.8",""
"border-image-source","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","17.3",""
"border-image-width","preserved","auto","auto","auto","auto","auto","24.5",""
"border-inline","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","26.7",""
"border-inline-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","19.6",""
"border-inline-end","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","23.2",""
"border-inline-end-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","13.2",""
"border-inline-end-style","preserved","none","none","none","none","none","14.1",""
"border-inline-end-width","preserved","24px","24px","24px","24px","24px","11.7",""
"border-inline-start","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","26.3",""
"border-inline-start-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","14.3",""
"border-inline-start-style","preserved","none","none","none","none","none","16.2",""
"border-inline-start-width","preserved","24px","24px","24px","24px","24px","23.2",""
"border-inline-style","preserved","none","none","none","none","none","22.5",""
"border-inline-width","preserved","24px","24px","24px","24px","24px","17.5",""
"border-left","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","11.8",""
"border-left-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","13.3",""
"border-left-style","preserved","none","none","none","none","none","16.8",""
"border-left-width","preserved","24px","24px","24px","24px","24px","12.8",""
"border-radius","preserved","24px","24px","24px","24px","24px","19.3",""
"border-right","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","7.3",""
"border-right-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","7.4",""
"border-right-style","preserved","none","none","none","none","none","14.5",""
"border-right-width","preserved","24px","24px","24px","24px","24px","8.8",""
"border-shape","preserved","inset(10%)","inset(10%)","inset(10%)","inset(10%)","inset(10%)","14.2",""
"border-spacing","preserved","24px","24px","24px","24px","24px","16.1",""
"border-start-end-radius","preserved","24px","24px","24px","24px","24px","18.8",""
"border-start-start-radius","preserved","24px","24px","24px","24px","24px","10.6",""
"border-style","preserved","none","none","none","none","none","14.8",""
"border-top","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","8.7",""
"border-top-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","8.7",""
"border-top-left-radius","preserved","24px","24px","24px","24px","24px","7.2",""
"border-top-right-radius","preserved","24px","24px","24px","24px","24px","9",""
"border-top-style","preserved","none","none","none","none","none","6.7",""
"border-top-width","preserved","24px","24px","24px","24px","24px","9.9",""
"border-width","preserved","24px","24px","24px","24px","24px","15.9",""
"bottom","preserved","24px","24px","24px","24px","24px","15.3",""
"box-align","unsupported","","","","","","",""
"box-decoration-break","preserved","clone","clone","clone","clone","clone","15.1",""
"box-direction","unsupported","","","","","","",""
"box-flex","unsupported","","","","","","",""
"box-flex-group","unsupported","","","","","","",""
"box-lines","unsupported","","","","","","",""
"box-ordinal-group","unsupported","","","","","","",""
"box-orient","unsupported","","","","","","",""
"box-pack","unsupported","","","","","","",""
"box-shadow","preserved","3px 4px 2px red","rgb(255, 0, 0) 3px 4px 2px 0px","rgb(255, 0, 0) 3px 4px 2px 0px","rgb(255, 0, 0) 3px 4px 2px 0px","rgb(255, 0, 0) 3px 4px 2px 0px","16.8",""
"box-sizing","preserved","content-box","content-box","content-box","content-box","content-box","15",""
"break-after","preserved","avoid","avoid","avoid","avoid","avoid","16.4",""
"break-before","preserved","avoid","avoid","avoid","avoid","avoid","16.5",""
"break-inside","preserved","avoid","avoid","avoid","avoid","avoid","14.4",""
"buffered-rendering","untested","","","","","","",""
"caption-side","preserved","bottom","bottom","bottom","bottom","bottom","17",""
"caret","unsupported","","","","","","",""
"caret-animation","native","","","","","","",""
"caret-color","native","","","","","","",""
"caret-shape","native","","","","","","",""
"clear","preserved","left","left","left","left","left","19.8",""
"clip","preserved","rect(0px, 100px, 80px, 0px)","rect(0px, 100px, 80px, 0px)","rect(0px, 100px, 80px, 0px)","rect(0px, 100px, 80px, 0px)","rect(0px, 100px, 80px, 0px)","26",""
"clip-path","preserved","circle(35% at 50% 50%)","circle(35% at 50% 50%)","circle(35% at 50% 50%)","circle(35% at 50% 50%)","circle(35% at 50% 50%)","19.5",""
"clip-rule","preserved","evenodd","evenodd","evenodd","evenodd","evenodd","14.9",""
"color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","17",""
"color-interpolation","preserved","auto","auto","auto","auto","auto","17.2",""
"color-interpolation-filters","preserved","auto","auto","auto","auto","auto","28.8",""
"color-rendering","preserved","optimizeSpeed","optimizespeed","optimizespeed","optimizespeed","optimizespeed","16.8",""
"color-scheme","preserved","light","light","light","light","light","13.2",""
"column-count","preserved","2","2","2","2","2","16.5",""
"column-fill","preserved","auto","auto","auto","auto","auto","13.6",""
"column-gap","preserved","24px","24px","24px","24px","24px","24.7",""
"column-height","preserved","24px","24px","24px","24px","24px","33.6",""
"column-rule","preserved","24px","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","18.4",""
"column-rule-break","preserved","none","none","none","none","none","14.9",""
"column-rule-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","17.8",""
"column-rule-inset-cap-end","preserved","24px","24px","24px","24px","24px","17.5",""
"column-rule-inset-cap-start","preserved","24px","24px","24px","24px","24px","16.5",""
"column-rule-inset-junction-end","preserved","24px","24px","24px","24px","24px","23.7",""
"column-rule-inset-junction-start","preserved","24px","24px","24px","24px","24px","18.1",""
"column-rule-style","preserved","solid","solid","solid","solid","solid","19.7",""
"column-rule-visibility-items","untested","","","","","","",""
"column-rule-width","preserved","24px","24px","24px","24px","24px","8.7",""
"column-span","preserved","all","all","all","all","all","15",""
"column-width","preserved","24px","24px","24px","24px","24px","12.5",""
"column-wrap","preserved","nowrap","nowrap","nowrap","nowrap","nowrap","15.9",""
"columns","preserved","24px","24px","24px","24px","24px","9.7",""
"contain","preserved","layout paint","layout paint","layout paint","layout paint","layout paint","21.1",""
"contain-intrinsic-block-size","preserved","24px","24px","24px","24px","24px","20.3",""
"contain-intrinsic-height","preserved","24px","24px","24px","24px","24px","13.3",""
"contain-intrinsic-inline-size","preserved","24px","24px","24px","24px","24px","19.4",""
"contain-intrinsic-size","preserved","24px","24px","24px","24px","24px","26.9",""
"contain-intrinsic-width","preserved","24px","24px","24px","24px","24px","7.8",""
"container","preserved","test / inline-size","test / inline-size","test / inline-size","test / inline-size","test / inline-size","21.5",""
"container-name","preserved","red","red","red","red","red","21.3",""
"container-type","preserved","size","size","size","size","size","20.9",""
"content","preserved","""CSS""","""CSS""","""CSS""","""CSS""","""CSS""","25.1",""
"content-visibility","preserved","auto","auto","auto","auto","auto","23.6",""
"corner-block-end-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","16.4",""
"corner-block-start-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","13.9",""
"corner-bottom-left-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","14.1",""
"corner-bottom-right-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","12.9",""
"corner-bottom-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","8.9",""
"corner-end-end-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","11.2",""
"corner-end-start-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","7.9",""
"corner-inline-end-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","20.3",""
"corner-inline-start-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","16.1",""
"corner-left-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","9.5",""
"corner-right-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","8.6",""
"corner-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","13.8",""
"corner-start-end-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","14.2",""
"corner-start-start-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","17.2",""
"corner-top-left-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","8.3",""
"corner-top-right-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","11.8",""
"corner-top-shape","preserved","squircle","superellipse(2)","superellipse(2)","superellipse(2)","superellipse(2)","8.9",""
"counter-increment","preserved","chapter 2","chapter 2","chapter 2","chapter 2","chapter 2","15.5",""
"counter-reset","preserved","chapter 2","chapter 2","chapter 2","chapter 2","chapter 2","18.7",""
"counter-set","preserved","chapter 2","chapter 2","chapter 2","chapter 2","chapter 2","16.1",""
"cursor","native","","","","","","",""
"cx","preserved","24px","24px","24px","24px","24px","17.6",""
"cy","preserved","24px","24px","24px","24px","24px","22.4",""
"d","preserved","path(""M 0 0 L 40 40"")","path(""M 0 0 L 40 40"")","path(""M 0 0 L 40 40"")","path(""M 0 0 L 40 40"")","path(""M 0 0 L 40 40"")","23",""
"direction","preserved","rtl","rtl","rtl","rtl","rtl","19.3",""
"display","preserved","none","none","none","none","none","12.1",""
"dominant-baseline","preserved","alphabetic","alphabetic","alphabetic","alphabetic","alphabetic","18.1",""
